"연말정산신고현황별(1)",연말정산신고현황별(2),2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"연말정산신고현황별(1)",연말정산신고현황별(2),합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%
"연말정산신고현황별(1)",연말정산신고현황별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"특별 공제",주택임차차입금,12,19,10,18,12,12,10,10,-,-,-,-,1,3,1,3,1,3,1,3,-,-,-,-,50,85,30,57,2,6,1,6,2,1,1,1,8,11,5,9,3,5,6,20,1,2,1,2,5,7,1,1,1328,2195,565,1031
"특별 공제",월세액,-,-,-,-,-,-,-,-,-,-,-,-,3,5,1,1,8,13,1,1,7,12,1,3,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",장기주택저당차입금,339,1698,326,1666,401,1816,373,1755,319,1373,293,1312,328,1483,297,1385,130,532,106,444,2,12,1,9,88,256,53,179,131,428,83,327,770,2127,412,1376,50,152,26,104,12,44,3,5,10,56,6,34,18,54,10,36,5262,15950,1824,6490
"특별 공제",기부금,4258,8659,4063,8530,4845,9249,4567,9069,5410,9288,4877,8842,6804,11279,5998,10669,7297,11845,6195,10969,9472,14137,7955,13017,1029,2449,823,2202,270,823,187,709,115,386,68,317,50,160,31,136,18,62,12,45,10,23,7,19,2,12,2,12,1,10,1,10
"특별 공제",혼인·이사·장례비,186,191,73,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"표준공제",소계,165555,143608,18951,18914,194317,172288,18270,18223,241455,226114,18805,18802,295169,275238,18916,18914,309888,291340,14377,14373,305815,288387,10902,10893,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"조특법상 소득공제",소계,11190,27200,9351,25679,13886,32058,10601,29386,13857,24452,9033,19770,18058,32602,10714,24991,24103,44843,12587,30725,29006,46206,12572,25529,37295,66202,13476,29999,44166,88036,14759,35100,52423,103117,15882,37374,61550,116784,17004,39197,71387,138732,18354,43018,82100,161769,19417,46760,84316,242669,17931,58417,96878,230985,17893,54616
"조특법상 소득공제",개인연금저축 소득공제,392,227,381,223,335,190,320,184,179,100,172,96,162,89,149,83,137,76,126,72,191,113,149,90,169,103,132,81,158,93,120,74,130,77,84,52,113,63,81,46,88,49,62,35,96,54,62,37,72,42,52,32,58,34,41,23
"조특법상 소득공제",연금저축 소득공제,1756,3971,1693,3909,2147,4767,2011,4626,2175,4673,1952,4381,2851,7001,2525,6502,3367,8832,2904,8001,**,**,**,**,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"조특법상 소득공제",소기업 소상공인 공제,301,470,280,459,12,22,12,22,9,25,9,25,34,66,31,63,71,131,60,121,128,227,104,194,159,357,125,297,205,442,156,347,182,415,136,323,243,514,156,345,263,545,161,339,270,574,160,336,301,638,176,373,318,678,164,325
"조특법상 소득공제",주택마련저축,5,43,5,43,380,510,334,488,2,2,1,1,3,1,3,1,-,-,-,-,1,-,-,-,20,8,14,6,71,39,32,19,71,37,30,15,5,1,4,1,3,-,-,-,-,-,-,-,-,-,-,-,2,1,2,1
"조특법상 소득공제",투자조합출자 소득공제,4,7,4,7,4,41,4,41,7,40,6,40,4,18,4,18,2,36,2,36,7,57,6,56,11,175,8,169,15,441,11,428,16,333,15,330,26,275,22,269,45,729,40,715,79,1660,71,1623,118,2230,107,2197,179,4528,158,4415
"조특법상 소득공제",신용카드 소득공제,10599,22127,8798,20683,13074,25863,10005,23385,12870,19231,8181,14868,16872,24657,9680,17582,22745,35632,11450,22378,28857,45664,12454,25046,37082,64936,13317,28881,43923,86508,14578,33794,52227,101674,15727,36150,61366,115537,16865,38209,71153,136659,18157,41236,81899,159052,19251,44421,84070,239252,17739,55388,96598,224728,17679,48977
"조특법상 소득공제",우리사주조합소득공제,101,340,100,340,201,407,111,397,69,219,59,199,197,696,186,668,41,97,38,92,45,145,44,143,144,513,135,481,121,372,107,336,130,461,118,422,98,292,77,249,170,662,157,629,101,359,83,289,123,425,109,383,216,970,190,849
"조특법상 소득공제",우리사주조합기부금,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"조특법상 소득공제",장기주식형저축소득공제,42,15,41,15,353,236,341,234,229,163,216,159,182,76,175,74,109,18,105,17,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"조특법상 소득공제",고용유지중소기업근로자,-,-,-,-,32,22,4,9,-,-,-,-,-,-,-,-,9,21,4,8,3,-,-,-,4,8,1,6,-,-,-,-,-,-,-,-,1,3,-,-,1,1,-,-,3,2,2,2,18,36,4,10,8,8,-,-
"조특법상 소득공제",장기집합투자증권저축,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,101,108,78,193,142,118,102,125,121,72,82,99,99,67,78,92,87,59,64,69,68,49,53,50,48,30,34,40,39,23,26
"소득공제종합한도 초과액",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,294,31,294,3,43,3,43,7,198,7,198,5,133,5,133,4,34,4,34,10,245,10,246,2,13,2,13,3,97,3,97,11,267,11,267
"과세표준",소계,135489,1776937,33238,1587535,168022,2001491,35243,1718498,235068,3385991,40218,2543719,287495,4065817,46346,2954446,313120,4551057,47291,3174081,323100,5250023,47804,3607494,418862,6983229,50712,3939677,465637,7549873,54346,4068326,484018,8056922,56343,4111433,478376,8358168,55819,3962678,501245,8786364,57331,3878179,520568,9441124,58550,3934772,483395,9489529,54480,3984126,452224,9770792,50464,4220244
"산출세액",소계,135475,304376,33233,289119,168012,298761,35237,281719,235061,442991,40216,392277,287492,512956,46345,445857,313118,564498,47290,480074,323094,698068,47803,594468,418860,872888,50712,664252,465634,925240,54346,681551,484012,965258,56343,678260,478374,1031832,55819,699193,501240,1072564,57331,688602,520568,1243906,58550,801045,483395,1301108,54480,845136,452221,1417273,50464,936243
"세액공제",소계,132152,21595,30864,13469,164041,22744,32145,13512,228069,43665,33868,16555,280108,55362,39391,19925,304819,63989,40063,20633,312518,72087,39924,21068,407495,190530,42274,40541,455140,214435,45811,43417,474322,235125,47875,44061,470558,253082,49200,45116,494682,267453,51989,46307,515977,271233,55129,47152,479272,258131,51361,45039,448270,252384,47329,44464
"세액공제",근로소득세액공제,132152,19405,30864,11285,164041,20395,32145,11169,228069,42188,33868,15095,280108,53476,39391,18060,304819,62385,40063,19050,312518,70323,39924,19335,407495,137392,42274,27288,455140,157011,45811,29600,474322,176779,47875,30849,470558,194736,49200,31346,494682,208272,51989,32284,515977,211492,55129,32592,479272,202586,51361,29935,448270,195599,47329,27441
"세액공제",자녀세액공제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13122,2927,7881,2191,14957,2901,8433,1998,16757,3715,8633,2457,18763,4097,8998,2555,20846,4308,9441,2472,13898,2808,6360,1550,14084,2799,6177,1485,14447,2888,5998,1443
"세액공제",연금계좌세액공제(공제대상),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3609,9486,3118,8870,4122,10038,3272,9389,3469,9479,2895,8749,4092,10986,3219,9841,4696,12817,3486,11244,5511,15465,3964,13139,6136,18369,4259,15499,6656,21756,4427,17480
